,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,pennsylvania,puerto-rico,rhode-island,south-carolina,south-dakota,tennessee,texas,utah,vermont,virginia,washington,west-virginia,wisconsin,wyoming
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,316,0,0,3,45,28,6,0,0,15,12,0,0,0,14,0,0,30,4,17,1,6,61,14,5,5,1,0,5,6,0,23,5,93,0,0,8,0,6,19,0,6,1,1,-17,16,4,0,12,126,0,2,0
2,64,0,3,3,77,24,12,2,0,26,34,0,2,1,18,3,1,20,2,41,1,9,73,10,7,0,7,4,2,4,1,20,3,107,7,0,13,1,2,6,1,0,6,0,0,13,1,3,11,74,0,11,2
3,77,0,1,4,67,30,3,1,8,39,28,0,2,3,29,4,0,27,4,25,8,6,68,22,14,4,11,2,3,3,6,31,4,212,9,0,11,3,7,19,1,0,9,0,5,16,18,3,4,127,0,14,0
4,67,0,5,6,134,29,15,1,4,45,24,0,2,0,12,5,1,54,1,34,6,9,149,10,19,2,11,0,4,21,4,84,4,235,6,0,13,3,0,13,0,1,5,1,4,12,11,4,6,135,0,13,0
5,113,2,2,0,152,23,27,8,0,57,31,2,5,3,56,5,5,34,5,64,5,18,247,12,8,9,28,2,8,11,9,94,2,742,25,2,17,9,27,33,0,3,14,1,4,26,12,0,16,108,0,13,8
6,127,5,7,11,143,38,28,10,9,111,51,3,3,1,128,9,0,46,9,80,10,25,257,59,16,15,45,2,4,-1,13,169,5,1343,29,3,22,12,9,43,1,14,13,0,4,91,12,7,12,175,0,25,5
7,143,3,18,29,163,57,63,5,9,89,97,4,6,14,135,21,15,34,2,112,12,22,276,235,13,15,55,1,12,40,5,335,7,2342,31,12,30,15,13,52,0,10,21,0,11,91,17,3,20,189,0,43,2
8,124,3,33,35,200,85,35,7,31,146,214,2,4,8,164,26,2,74,11,145,7,42,384,234,24,29,70,6,10,14,12,158,8,3053,52,8,54,3,26,96,8,17,46,3,30,116,32,7,24,148,1,57,1
9,158,1,30,22,186,113,0,2,6,96,76,1,23,5,169,43,5,42,16,48,8,41,320,255,23,61,101,9,5,52,9,465,14,1994,70,2,74,4,23,88,7,14,48,0,162,82,24,20,29,269,5,70,4
